OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,SendBy,Freight,ShipCountry
10248,VINET,5,8/4/2018,9/1/2018,8/16/2018,3,32.38,France
10249,TOMSP,6,8/5/2018,9/16/2018,8/10/2018,1,11.61,Germany
10250,HANAR,4,8/8/2018,9/5/2018,8/12/2018,2,65.83,Brazil
10251,VICTE,3,8/8/2018,9/5/2018,8/15/2018,1,41.34,France
10252,SUPRD,4,8/9/2018,9/6/2018,8/11/2018,4,51.3,Belgium
10253,HANAR,3,8/10/2018,8/24/2018,8/16/2018,2,58.17,Brazil
10254,CHOPS,5,8/11/2018,9/8/2018,8/23/2018,5,22.98,Switzerland
10255,RICSU,9,8/12/2018,9/9/2018,8/15/2018,3,148.33,Switzerland
10256,WELLI,3,8/15/2018,9/12/2018,8/17/2018,2,13.97,Brazil
10257,HILAA,4,8/16/2018,9/13/2018,8/22/2018,3,81.91,Venezuela
10258,ERNSH,1,8/17/2018,9/14/2018,8/23/2018,1,140.51,Austria
10259,CENTC,4,8/18/2018,9/15/2018,8/25/2018,3,3.25,Mexico
10260,OTTIK,4,8/19/2018,9/16/2018,8/29/2018,5,55.09,Germany
10261,QUEDE,4,8/19/2018,9/16/2018,8/30/2018,2,3.05,Brazil
10262,RATTC,8,8/22/2018,9/19/2018,8/25/2018,3,48.29,USA
10263,ERNSH,9,8/23/2018,9/20/2018,8/31/2018,4,146.06,Austria
10264,FOLKO,6,8/24/2018,9/21/2018,9/23/2018,3,3.67,Sweden
10265,BLONP,2,8/25/2018,9/22/2018,9/12/2018,5,55.28,France
10266,WARTH,3,8/26/2018,10/7/2018,8/31/2018,3,25.73,Finland
10267,FRANK,4,8/29/2018,9/26/2018,9/6/2018,4,208.58,Germany
10268,GROSR,8,8/30/2018,9/27/2018,9/2/2018,3,66.29,Venezuela
10269,WHITC,5,8/31/2018,9/14/2018,9/9/2018,1,4.56,USA
10270,WARTH,1,9/1/2018,9/29/2018,9/2/2018,5,136.54,Finland
10271,SPLIR,6,9/1/2018,9/29/2018,9/30/2018,2,4.54,USA
10272,RATTC,6,9/2/2018,9/30/2018,9/6/2018,2,98.03,USA
10273,QUICK,3,9/5/2018,10/3/2018,9/12/2018,3,76.07,Germany
10274,VINET,6,9/6/2018,10/4/2018,9/16/2018,1,6.01,France
10275,MAGAA,1,9/7/2018,10/5/2018,9/9/2018,1,26.93,Italy
10276,TORTU,8,9/8/2018,9/22/2018,9/14/2018,3,13.84,Mexico
